,Anderson,name,rhof1,rhof10,rhof100,moist1,moist10,moist100,depth,SAV,SB40
0,1,GR2,0.24658700000000003,0.0,0.0,0.15,0.05,0.06,0.3048,6562.0,102
1,2,GR2,0.24658700000000003,0.0,0.0,0.15,0.05,0.06,0.3048,6562.0,102
2,3,GR3,0.35867200000000005,0.08966800000000001,0.0,0.3,0.05,0.06,0.6096,4921.5,103
3,4,SH5,0.8070120000000001,0.47075700000000004,0.0,0.15,0.05,0.06,1.8288000000000002,2460.75,145
4,5,GS2,0.24658700000000003,0.112085,0.0,0.15,0.05,0.06,0.45720000000000005,6562.0,122
5,6,SH4,0.1905445,0.2577955,0.044834000000000006,0.3,0.05,0.06,0.9144000000000001,6562.0,144
6,7,SH4,0.1905445,0.2577955,0.044834000000000006,0.3,0.05,0.06,0.9144000000000001,6562.0,144
7,8,TL3,0.112085,0.49317400000000006,0.627676,0.2,0.05,0.06,0.09144000000000001,6562.0,183
8,9,TL9,1.4907305000000002,0.739761,0.9303055000000001,0.35,0.05,0.06,0.18288000000000001,5905.8,189
9,10,TU2,0.2129615,0.40350600000000003,0.28021250000000003,0.3,0.05,0.06,0.3048,6562.0,162
10,11,SB1,0.336255,0.67251,2.4658700000000002,0.25,0.05,0.06,0.3048,6562.0,201
11,12,SB2,1.0087650000000001,0.9527225,0.89668,0.25,0.05,0.06,0.3048,6562.0,202
12,13,SB2,1.0087650000000001,0.9527225,0.89668,0.25,0.05,0.06,0.3048,6562.0,202
